make,model,tier,source_type,urls_processed,images_downloaded,images_approved,images_rejected,rejection_rate,colors_detected,run_duration_seconds,errors,timestamp
Bugatti,Divo,Tier 1,Official Website,1,9,3,6,66.7%,,225,0,2026-03-26T10:08:20Z
Bugatti,Centodieci,Tier 1,Official Website,1,11,1,10,90.9%,,267,0,2026-03-26T10:12:48Z
Acura,Rdx,Tier 1,Official Website,4,0,0,0,0%,,3611,0,2026-03-26T10:14:49Z
Bugatti,Mistral,Tier 1,Official Website,1,13,5,8,61.5%,,241,0,2026-03-26T10:16:49Z
Bugatti,Bolide,Tier 1,Official Website,1,15,2,13,86.7%,,224,0,2026-03-26T10:20:34Z
Cadillac,Ct6,Tier 1,Official Website,1,6,4,2,33.3%,,160,0,2026-03-26T10:32:00Z
Acura,Mdx,Tier 1,Official Website,3,0,0,0,0%,,3467,0,2026-03-26T11:12:37Z
Cadillac,Xt5,Tier 1,Official Website,8,178,48,130,73.0%,,4357,0,2026-03-26T11:44:37Z
Cadillac,Xt4,Tier 1,Official Website,1,61,22,39,63.9%,,652,0,2026-03-26T11:55:30Z
Cadillac,Ct5,Tier 1,Official Website,7,164,28,136,82.9%,,2944,0,2026-03-26T12:44:35Z
Cadillac,Ct4,Tier 1,Official Website,5,164,36,128,78.0%,,2719,0,2026-03-26T13:29:54Z
Cadillac,Xt6,Tier 1,Official Website,4,78,50,28,35.9%,,2729,0,2026-03-26T14:15:24Z
Cadillac,Lyriq,Tier 1,Official Website,3,82,19,63,76.8%,,1463,0,2026-03-26T14:39:47Z
Cadillac,Celestiq,Tier 1,Official Website,2,152,61,91,59.9%,,2906,0,2026-03-26T15:28:14Z
Cadillac,Optiq,Tier 1,Official Website,5,178,33,145,81.5%,,4269,0,2026-03-26T16:39:23Z
Bugatti,Tourbillon,Tier 1,Official Website,1,29,11,18,62.1%,,391,0,2026-03-27T06:56:26Z
Buick,Enclave,Tier 1,Official Website,5,124,41,83,66.9%,,2893,0,2026-03-30T07:26:36Z
Buick,Envision,Tier 1,Official Website,6,134,22,112,83.6%,,2554,0,2026-03-30T08:09:10Z
Buick,Envista,Tier 1,Official Website,6,209,95,114,54.5%,,3328,0,2026-03-30T11:09:58Z
Buick,Encore Gx,Tier 1,Official Website,6,212,45,167,78.8%,,5549,0,2026-03-30T11:46:03Z
Bmw,X1,Tier 1,Official Website,4,2,2,0,0.0%,,567,0,2026-04-02T05:09:27Z
Bmw,7 Series,Tier 1,Official Website,14,0,0,0,0%,,1389,0,2026-04-02T05:32:36Z
Bmw,X5 M,Tier 1,Official Website,3,0,0,0,0%,,267,0,2026-04-02T05:37:04Z
Bmw,X6 M,Tier 1,Official Website,3,0,0,0,0%,,272,0,2026-04-02T05:41:36Z
Bmw,M2,Tier 1,Official Website,4,0,0,0,0%,,393,0,2026-04-02T05:48:09Z
Bmw,5 Series,Tier 1,Official Website,3,0,0,0,0%,,237,0,2026-04-02T05:52:07Z
Bmw,X3,Tier 1,Official Website,4,0,0,0,0%,Use_Tabulator_Key_And_Select_Button_To_Change_Color_Of_The_Car,1005,0,2026-04-02T06:08:52Z
Bmw,M5,Tier 1,Official Website,1,0,0,0,0%,,114,0,2026-04-02T06:10:46Z
Bmw,3 Series,Tier 1,Official Website,3,0,0,0,0%,,272,0,2026-04-02T06:15:19Z
Bmw,8 Series,Tier 1,Official Website,1,0,0,0,0%,,49,0,2026-04-02T06:16:08Z
Bmw,X2,Tier 1,Official Website,4,0,0,0,0%,Use_Tabulator_Key_And_Select_Button_To_Change_Color_Of_The_Car,549,0,2026-04-02T06:25:18Z
Bmw,X4,Tier 1,Official Website,2,0,0,0,0%,,101,0,2026-04-02T06:26:59Z
Bmw,X5,Tier 1,Official Website,5,0,0,0,0%,Use_Tabulator_Key_And_Select_Button_To_Change_Color_Of_The_Car,1013,0,2026-04-02T06:43:52Z
Bmw,X7,Tier 1,Official Website,3,0,0,0,0%,Use_Tabulator_Key_And_Select_Button_To_Change_Color_Of_The_Car,697,0,2026-04-02T06:55:30Z
Bmw,Z4,Tier 1,Official Website,3,0,0,0,0%,,269,0,2026-04-02T07:00:00Z
Bmw,8 Series Gran Coupe,Tier 1,Official Website,1,0,0,0,0%,,9,0,2026-04-02T07:00:09Z
Bmw,X6,Tier 1,Official Website,5,0,0,0,0%,Use_Tabulator_Key_And_Select_Button_To_Change_Color_Of_The_Car,722,0,2026-04-02T07:12:12Z
Bmw,M8,Tier 1,Official Website,103,0,0,0,0%,,2442,100,2026-04-02T07:52:54Z
Bmw,M8 Gran Coupe,Tier 1,Official Website,1,0,0,0,0%,,56,0,2026-04-02T07:53:50Z
Bmw,X3 M,Tier 1,Official Website,125,0,0,0,0%,Instalmentv2,1757,122,2026-04-02T08:23:08Z
Bmw,X4 M,Tier 1,Official Website,2,0,0,0,0%,,89,0,2026-04-02T08:24:37Z
Bmw,4 Series,Tier 1,Official Website,4,0,0,0,0%,,280,0,2026-04-02T08:29:17Z
Bmw,Ix3,Tier 1,Official Website,1,0,0,0,0%,,779,0,2026-04-02T08:42:16Z
Bmw,4 Series Gran Coupe,Tier 1,Official Website,5,0,0,0,0%,,467,0,2026-04-02T08:50:04Z
Bmw,I4,Tier 1,Official Website,5,0,0,0,0%,,466,0,2026-04-02T08:57:51Z
Bmw,Ix,Tier 1,Official Website,7,0,0,0,0%,,584,0,2026-04-02T09:07:36Z
Bmw,M3,Tier 1,Official Website,3,0,0,0,0%,,286,0,2026-04-02T09:12:22Z
Bmw,M4,Tier 1,Official Website,5,0,0,0,0%,,467,0,2026-04-02T09:20:10Z
Bmw,I7,Tier 1,Official Website,5,0,0,0,0%,,473,0,2026-04-02T09:28:04Z
Bmw,Ix1,Tier 1,Official Website,2,0,0,0,0%,,67,0,2026-04-02T09:29:11Z
Bmw,M3 Touring,Tier 1,Official Website,62,0,0,0,0%,Instalmentv2,2195,60,2026-04-02T10:05:47Z
Bmw,Xm,Tier 1,Official Website,2,0,0,0,0%,,144,0,2026-04-02T10:08:11Z
Bmw,I5,Tier 1,Official Website,5,0,0,0,0%,,469,0,2026-04-02T10:16:00Z
Bmw,Ix2,Tier 1,Official Website,4,0,0,0,0%,,196,0,2026-04-02T10:19:16Z
Bmw,M5 Touring,Tier 1,Official Website,2,0,0,0,0%,,148,0,2026-04-02T10:21:45Z
